uid,name,duration_days,is_milestone,outline_level,constraint_type,constraint_date,calendar,predecessors,start,finish
82,Project Establishment Readiness,182.000,no,1,,,,83:FS:0;87:FS:0;104:FS:0;141:FS:0;146:FS:0,,
83,PE Market Readiness,182.000,no,2,,,,84:FS:0;85:FS:0;86:FS:0,,
84,Bundling Principles confirmed with Bundle Sales Leader,2383.700,no,3,,,,,,
85,Bundling risks & assumptions with Bundle Sales Ldr,2201.700,no,3,,,,84:FS:0,,
86,"Where to play confirmed - ecommerce, channels?",915.900,no,3,,,,85:FS:0,,
87,PE Commercial Readiness,182.000,no,2,,,,89:FS:0;90:FS:0;91:FS:0;92:FS:0;93:FS:0;95:FS:0,,
89,Media Neutral Idea Approved - Include legal,4900.600,no,3,,,,,,
90,Marketing Toolbox elements ID'ed,1612.800,no,3,,,,89:FS:0,,
91,"CVA MRAT (customer value assessment, Market Readiness assessment tool)",182.000,no,3,,,,86:FS:0,,
92,TPA Completed (Trial Potential Assessment),182.000,no,3,,,,88:FS:0;74:FS:0,,
93,Claims summary documented,1638.000,no,3,,,,88:FS:0;74:FS:0,,
95,PE Artwork -  Design Brief Approval,182.000,no,3,,,,96:FS:0;97:FS:0;98:FS:0;99:FS:0;100:FS:0;101:FS:0;102:FS:0;103:FS:0,,
96,Create Design Brief with Mktg and CMK,1456.000,no,4,,,,93:FS:0;89:FS:0;158:FS:0,,
97,Design Brief Approved (including any in-mold line (IML) lock-up),1274.000,no,4,,,,96:FS:0,,
98,Kickoff Meeting with agency,1092.000,no,4,,,,97:FS:0,,
99,Design Estimate received from agency,910.000,no,4,,,,98:FS:0,,
100,Establish brand codes and Pieces of Art (POA)s needed,728.000,no,4,,,,99:FS:0,,
101,Design Estimate approved,546.000,no,4,,,,100:FS:0,,
102,Purchase Order opened to agency,364.000,no,4,,,,101:FS:0,,
103,Prelim. dyelines sent to agency,182.000,no,4,,,,102:FS:0;90:FS:0,,
104,PE Technical Readiness,182.000,no,2,,,,107:FS:0;108:FS:0;113:FS:0;114:FS:0;115:FS:0;118:FS:0;122:FS:0;133:FS:0;134:FS:0;135:FS:0;136:FS:0;137:FS:0,,
107,Get the Red Out (GTRO) [1st wave of technical readiness assessment],182.000,no,3,,,,,,
108,Intellectual Property,182.000,no,3,,,,109:FS:0;110:FS:0;111:FS:0;112:FS:0,,
109,Intellectual Property Position/Patent (Freedom To Practice Search),1831.800,no,4,,,,105:FS:0,,
110,Determine Intellectual Property (IP) Strategy,1649.800,no,4,,,,109:FS:0,,
111,Patent design Trademark application complete,364.000,no,4,,,,110:FS:0,,
112,Intellectual Property (IP) index,182.000,no,4,,,,111:FS:0,,
113,Connect & Develop due diligence w/sites,182.000,no,3,,,,,,
114,Product & Package TFS draft,1794.800,no,3,,,,105:FS:0,,
115,Process flow sheet draft,1794.800,no,3,,,,105:FS:0,,
118,Packaging Design Intent Approval (DIA),182.000,no,3,,,,119:FS:0;120:FS:0;121:FS:0,,
119,Design Intent Approval (DIA) draft,546.000,no,4,,,,147:FS:0;148:FS:0,,
120,Design Intent Approval (DIA) review,364.000,no,4,,,,119:FS:0,,
121,Design Intent Approved (DIA),182.000,no,4,,,,120:FS:0,,
122,Press Tap DIA,182.000,no,3,,,,123:FS:0;129:FS:0;130:FS:0;131:FS:0;132:FS:0,,
123,Design development,182.000,no,4,,,,,,
129,Develop 3D with mold builder (or pkg machine development - depending on assembled or formulated business),728.000,no,4,,,,,,
130,DIA review and approval,546.000,no,4,,,,129:FS:0,,
131,DIA Final,364.000,no,4,,,,130:FS:0,,
132,Funding approval,182.000,no,4,,,,131:FS:0,,
133,Technical Learning Plan ID'ed,733.900,no,3,,,,105:FS:0;89:FS:0,,
134,Draft QEC I,733.900,no,3,,,,105:FS:0;89:FS:0,,
135,Consumer & customer needs defined,182.000,no,3,,,,105:FS:0;89:FS:0,,
136,Supply Network Capacity Analysis (Mat'l & Dist.),182.000,no,3,,,,106:FS:0,,
137,Packing,182.000,no,3,,,,138:FS:0;139:FS:0;140:FS:0,,
138,Front End Engineering (FEI) work graduated,546.000,no,4,,,,,,
139,Manufacturing SIMPL Readiness (put plants here) review and planning session,364.000,no,4,,,,138:FS:0,,
140,Engineering Prelim Concurrence,182.000,no,4,,,,139:FS:0,,
141,PE Financials,182.000,no,2,,,,142:FS:0;143:FS:0;144:FS:0;145:FS:0,,
142,Country Total Delivered Cost (TDC) test complete,364.000,no,3,,,,114:FS:0;115:FS:0;105:FS:0;106:FS:0;147:FS:0,,
143,Volume locked,182.000,no,3,,,,105:FS:0;106:FS:0,,
144,Cannibalization locked,182.000,no,3,,,,105:FS:0;106:FS:0,,
145,Cost estimated (capital/formula/etc.),182.000,no,3,,,,142:FS:0;149:FS:0;150:FS:0;151:FS:0,,
146,PE Project Specific Items,182.000,no,2,,,,147:FS:0;149:FS:0;150:FS:0;151:FS:0;152:FS:0,,
147,Cap dosing study,1092.000,no,3,,,,,,
149,Bin/Cap strategy options ID'ed (6MM option chosen),364.000,no,3,,,,,,
150,Club Press-tap strategy developed (no spout),364.000,no,3,,,,,,
151,IML/Cap wrap decision,364.000,no,3,,,,,,
152,Brand Architecture,182.000,no,3,,,,153:FS:0;154:FS:0;156:FS:0;157:FS:0;158:FS:0,,
153,"Brand Architecture Approved (clustering, brand stretch)",2184.000,no,4,,,,,,
154,Brand Vision Development - bringing the architecture to life,2002.000,no,4,,,,153:FS:0,,
156,Approved Brand Vision (incl Quall feedback and iterations),182.000,no,4,,,,155:FS:0,,
157,Kickoff Package Design,1820.000,no,4,,,,154:FS:0,,
158,2D Development,1638.000,no,4,,,,157:FS:0,,
160,Project Commitment Readiness,551.900,no,1,,,,161:FS:0;183:FS:0;681:FS:0,,
161,PC Market Readiness,551.900,no,2,,,,162:FS:0;171:FS:0;172:FS:0;175:FS:0;176:FS:0;177:FS:0;178:FS:0;182:FS:0,,
162,Customer selling strategy defined,551.900,no,3,,,,163:FS:0;164:FS:0;165:FS:0;166:FS:0;167:FS:0;168:FS:0;169:FS:0;170:FS:0,,
163,"Determine target customer margins, floor price minimum (including corridor changes)",551.900,no,4,,,,86:FS:0,,
164,Determine display/merchandising requirements,24234.200,no,4,,,,,,
165,Provide Input to Storeback Sessions,23682.300,no,4,,,,164:FS:0,,
166,Determine Shelving Strategy,23130.400,no,4,,,,165:FS:0,,
167,"Determine Preliminary customer selling strategy (Floor Price Minimum, Recommended Pricing)",2904.500,no,4,,,,166:FS:0;179:FS:0;180:FS:0;177:FS:0,,
